case_id,category,base_correct,adapter_correct,base_failure_category,adapter_failure_category
confirm-simplify-06,simplification_or_evaluation,false,true,execution_error:nonzero_exit,correct
confirm-simplify-07,simplification_or_evaluation,false,false,policy_rejection,stdout_error:no_output
confirm-simplify-08,simplification_or_evaluation,false,true,extraction_error:raw_python_invalid,correct
confirm-simplify-09,simplification_or_evaluation,false,false,policy_rejection,extraction_error:direct_answer_not_program
confirm-simplify-10,simplification_or_evaluation,false,false,scoring_error:incorrect_answer,extraction_error:ambiguous_code_blocks
confirm-word-01,proportions_and_word_problems,false,false,execution_error:nonzero_exit,scoring_error:incorrect_answer
confirm-word-02,proportions_and_word_problems,false,false,scoring_error:malformed_answer,execution_error:nonzero_exit
confirm-word-03,proportions_and_word_problems,false,false,scoring_error:incorrect_answer,policy_rejection
confirm-word-04,proportions_and_word_problems,false,false,policy_rejection,extraction_error:direct_answer_not_program
confirm-word-05,proportions_and_word_problems,false,false,extraction_error:raw_python_invalid,scoring_error:incorrect_answer
confirm-word-06,proportions_and_word_problems,false,false,scoring_error:incorrect_answer,execution_error:nonzero_exit
confirm-word-07,proportions_and_word_problems,false,false,policy_rejection,extraction_error:raw_python_invalid
confirm-word-08,proportions_and_word_problems,false,false,extraction_error:raw_python_invalid,policy_rejection
confirm-word-09,proportions_and_word_problems,false,false,scoring_error:malformed_answer,policy_rejection
confirm-word-10,proportions_and_word_problems,false,false,stdout_error:no_output,scoring_error:incorrect_answer
confirm-absolute-01,absolute_value_equations,false,false,policy_rejection,execution_error:nonzero_exit
confirm-absolute-02,absolute_value_equations,false,false,execution_error:nonzero_exit,execution_error:nonzero_exit
confirm-absolute-03,absolute_value_equations,false,false,extraction_error:raw_python_invalid,policy_rejection
confirm-absolute-04,absolute_value_equations,false,false,policy_rejection,execution_error:nonzero_exit
confirm-absolute-05,absolute_value_equations,false,false,policy_rejection,execution_error:nonzero_exit
confirm-absolute-06,absolute_value_equations,false,false,policy_rejection,execution_error:nonzero_exit
confirm-absolute-07,absolute_value_equations,false,false,extraction_error:raw_python_invalid,execution_error:nonzero_exit
confirm-absolute-08,absolute_value_equations,false,false,policy_rejection,extraction_error:direct_answer_not_program
confirm-absolute-09,absolute_value_equations,false,false,policy_rejection,execution_error:nonzero_exit
confirm-absolute-10,absolute_value_equations,false,false,scoring_error:incorrect_answer,execution_error:nonzero_exit
confirm-exponent-01,exponents_and_radicals,false,false,policy_rejection,scoring_error:incorrect_answer
confirm-exponent-02,exponents_and_radicals,true,false,correct,extraction_error:direct_answer_not_program
confirm-exponent-03,exponents_and_radicals,false,false,policy_rejection,extraction_error:direct_answer_not_program
confirm-exponent-04,exponents_and_radicals,true,false,correct,policy_rejection
confirm-exponent-05,exponents_and_radicals,false,false,policy_rejection,scoring_error:incorrect_answer
confirm-exponent-06,exponents_and_radicals,false,false,extraction_error:raw_python_invalid,policy_rejection
confirm-exponent-07,exponents_and_radicals,false,false,extraction_error:raw_python_invalid,execution_error:nonzero_exit
confirm-exponent-08,exponents_and_radicals,false,false,execution_error:nonzero_exit,policy_rejection
confirm-exponent-09,exponents_and_radicals,false,false,scoring_error:incorrect_answer,policy_rejection
confirm-exponent-10,exponents_and_radicals,false,false,policy_rejection,extraction_error:raw_python_invalid
