case_id,category,problem,expected_answer_kind,expected_answer,raw_response,extracted_code,extraction_status,syntax_status,policy_status,execution_status,stdout,observable_status,parsed_answer,score_error,normalized_actual,automated_correct,failure_reason,manual_reviewed,manual_correct,manual_classification,manual_note
confirm-quadratic-01,quadratic_equations,Find all real roots of 3*x**2 - 10*x - 8 = 0.,finite_set,"[""-2/3"", ""4""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(3*x**2 - 10*x - 8, 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(3*x**2 - 10*x - 8, 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-2/3, 4}
",observable,"{-2/3, 4}",,"{-2/3, 4}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-02,quadratic_equations,"Over the reals, solve (2*x + 5)**2 = 49.",finite_set,"[""-6"", ""1""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((2*x + (5))**2, 49), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((2*x + (5))**2, 49), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-6, 1}
",observable,"{-6, 1}",,"{-6, 1}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-03,quadratic_equations,Determine every complex solution of x**2 + 6*x + 13 = 0.,finite_set,"[""-3 - 2*I"", ""-3 + 2*I""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**2 + (6)*x + (13), 0), x, domain=S.Complexes)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**2 + (6)*x + (13), 0), x, domain=S.Complexes)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-3 - 2*I, -3 + 2*I}
",observable,"{-3 - 2*I, -3 + 2*I}",,"{-3 - 2*I, -3 + 2*I}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-04,quadratic_equations,List the distinct real roots of 5*x**2 - 20*x + 20 = 0.,finite_set,"[""2""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(5*x**2 - 20*x + 20, 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(5*x**2 - 20*x + 20, 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {2}
",observable,{2},,{2},True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-05,quadratic_equations,Solve x**2 - 2*x - 7 = 0 over the reals and keep exact radicals.,finite_set,"[""1 - 2*sqrt(2)"", ""1 + 2*sqrt(2)""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**2 - 2*x - 7, 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**2 - 2*x - 7, 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {1 - 2*sqrt(2), 1 + 2*sqrt(2)}
",observable,"{1 - 2*sqrt(2), 1 + 2*sqrt(2)}",,"{1 - 2*sqrt(2), 1 + 2*sqrt(2)}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-06,quadratic_equations,Find the real solution set of 4*x**2 + 4*x + 5 = 0.,finite_set,[],"from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(4*x**2 + (4)*x + (5), 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(4*x**2 + (4)*x + (5), 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: EmptySet
",observable,EmptySet,,EmptySet,True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-07,quadratic_equations,"For real x, determine all values satisfying x*(x - 9) = 22.",finite_set,"[""-2"", ""11""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x*(x - 9), 22), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x*(x - 9), 22), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-2, 11}
",observable,"{-2, 11}",,"{-2, 11}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-08,quadratic_equations,"Solve (x - 1)*(x + 4) = 12 over the reals, reporting exact values.",finite_set,"[""(-3 - sqrt(73))/2"", ""(-3 + sqrt(73))/2""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((x - 1)*(x + 4), 12), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((x - 1)*(x + 4), 12), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-3/2 + sqrt(73)/2, -sqrt(73)/2 - 3/2}
",observable,"{-3/2 + sqrt(73)/2, -sqrt(73)/2 - 3/2}",,"{-3/2 + sqrt(73)/2, -sqrt(73)/2 - 3/2}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-quadratic-09,quadratic_equations,"Using exact fractions, solve (1/2)*x**2 - (5/3)*x + 4/3 = 0 over the reals.",finite_set,"[""4/3"", ""2""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((1/2)*x**2 - (5/3)*x + (4/3), 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((1/2)*x**2 - (5/3)*x + (4/3), 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {1.33333333333333, 2.0}
",observable,"{1.33333333333333, 2.0}",incorrect_answer,"{1.33333333333333, 2.0}",False,scoring_error:incorrect_answer,True,True,scorer_false_negative,The two printed floats numerically represent the expected roots 4/3 and 2.
confirm-quadratic-10,quadratic_equations,Find every complex x satisfying x**2 = -16.,finite_set,"[""-4*I"", ""4*I""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**2, -16), x, domain=S.COMPLEX)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**2, -16), x, domain=S.COMPLEX)
print(""ANSWER:"", result)",accepted:raw_python,passed,failed,not_reached,,not_reached,,,,False,policy_rejection,True,False,policy_failure,The non-allowlisted and invalid S.COMPLEX attribute was rejected before execution.
confirm-system-01,systems_of_equations,Solve 3*x + 2*y = 19 and 5*x - y = 18 for real x and y.,variable_mapping,"{""x"": ""55/13"", ""y"": ""41/13""}","from sympy import Eq, linsolve, symbols

x, y = symbols(""x y"", real=True)
result = linsolve((Eq(3*x + (2)*y, 19), Eq(5*x - y, 18)), (x, y))
print(""ANSWER:"", result)","from sympy import Eq, linsolve, symbols

x, y = symbols(""x y"", real=True)
result = linsolve((Eq(3*x + (2)*y, 19), Eq(5*x - y, 18)), (x, y))
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {(55/13, 41/13)}
",observable,"{(55/13, 41/13)}",malformed_answer,,False,scoring_error:malformed_answer,True,True,scorer_false_negative,"The ordered tuple (55/13, 41/13) matches variables (x, y)."
confirm-system-02,systems_of_equations,"Over the reals, determine x and y from x - 3*y = -14 and 4*x + y = 9.",variable_mapping,"{""x"": ""1"", ""y"": ""5""}","from sympy import Eq, linsolve, symbols

x, y = symbols(""x y"", real=True)
result = linsolve((Eq(x - (3)*y, -14), Eq(4*x + y, 9)), (x, y))
print(""ANSWER:"", result)","from sympy import Eq, linsolve, symbols

x, y = symbols(""x y"", real=True)
result = linsolve((Eq(x - (3)*y, -14), Eq(4*x + y, 9)), (x, y))
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {(1, 5)}
",observable,"{(1, 5)}",malformed_answer,,False,scoring_error:malformed_answer,True,True,scorer_false_negative,"The ordered tuple (1, 5) matches variables (x, y)."
confirm-system-03,systems_of_equations,"Find real a and b satisfying a/2 + b/3 = 5 and a - b = 1, with exact fractions.",variable_mapping,"{""a"": ""32/5"", ""b"": ""27/5""}","from sympy import Eq, Rational, symbols, solve

a, b = symbols(""a b"", real=True)
equation = Eq(a/2 + b/3, 5)
result = solve(equation, a, b)
print(""ANSWER:"", result)","from sympy import Eq, Rational, symbols, solve

a, b = symbols(""a b"", real=True)
equation = Eq(a/2 + b/3, 5)
result = solve(equation, a, b)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: [(10 - 2*b/3, b)]
",observable,"[(10 - 2*b/3, b)]",malformed_answer,,False,scoring_error:malformed_answer,True,False,mathematically_wrong_answer,"Only the first equation was solved, leaving a free parameter."
confirm-system-04,systems_of_equations,"Solve x + y + z = 4, 2*x - y + 3*z = 14, and -x + 4*y + z = -3 over the reals.",variable_mapping,"{""x"": ""2"", ""y"": ""-1"", ""z"": ""3""}","from sympy import Eq, linsolve, symbols

x, y, z = symbols(""x y z"", real=True)
result = linsolve((Eq(x + y + z, 4), Eq(2*x - y + 3*z, 14), Eq(-x + 4*y + z, -3)), (x, y, z))
print(""ANSWER:"", result)","from sympy import Eq, linsolve, symbols

x, y, z = symbols(""x y z"", real=True)
result = linsolve((Eq(x + y + z, 4), Eq(2*x - y + 3*z, 14), Eq(-x + 4*y + z, -3)), (x, y, z))
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {(2, -1, 3)}
",observable,"{(2, -1, 3)}",malformed_answer,,False,scoring_error:malformed_answer,True,True,scorer_false_negative,"The ordered tuple (2, -1, 3) matches variables (x, y, z)."
confirm-system-05,systems_of_equations,"Determine the real triple solving 3*x + y - z = -3, x - 2*y + 5*z = -5, and 2*x + 3*y + z = 9.",variable_mapping,"{""x"": ""-2"", ""y"": ""4"", ""z"": ""1""}","from sympy import Eq, linsolve, symbols

x, y, z = symbols(""x y z"", real=True)
result = linsolve((Eq(3*x + (y) - (z), -3), Eq(x - (2)*y + (5)*z, -5), Eq(2*x + (3)*y + z, 9)), (x, y, z))
print(""ANSWER:"", result)","from sympy import Eq, linsolve, symbols

x, y, z = symbols(""x y z"", real=True)
result = linsolve((Eq(3*x + (y) - (z), -3), Eq(x - (2)*y + (5)*z, -5), Eq(2*x + (3)*y + z, 9)), (x, y, z))
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {(-2, 4, 1)}
",observable,"{(-2, 4, 1)}",malformed_answer,,False,scoring_error:malformed_answer,True,True,scorer_false_negative,"The ordered tuple (-2, 4, 1) matches variables (x, y, z)."
confirm-system-06,systems_of_equations,Positive real numbers x and y satisfy x + y = 10 and x*y = 21. Find the unique ordered pair with x < y.,variable_mapping,"{""x"": ""3"", ""y"": ""7""}","from sympy import Eq, symbols, solve

x, y = symbols(""x y"", real=True)
result = solve(Eq(x + y, 10) & Eq(x*y, 21), (x, y))
print(""ANSWER:"", result)","from sympy import Eq, symbols, solve

x, y = symbols(""x y"", real=True)
result = solve(Eq(x + y, 10) & Eq(x*y, 21), (x, y))
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,nonzero_exit,,not_reached,,,,False,execution_error:nonzero_exit,True,False,execution_failure,The conjunction was passed to solve in an unsupported form and raised before output.
confirm-system-07,systems_of_equations,Real x and y obey x + y = 1 and x**2 + y**2 = 25. Determine the ordered solution for which x > y.,variable_mapping,"{""x"": ""4"", ""y"": ""-3""}","from sympy import Eq, S, solveset, symbols

x, y = symbols(""x y"", real=True)
result = solveset(Eq(x + y, 1), x, domain=S.Reals) & solveset(Eq(x**2 + y**2, 25), y, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x, y = symbols(""x y"", real=True)
result = solveset(Eq(x + y, 1), x, domain=S.Reals) & solveset(Eq(x**2 + y**2, 25), y, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: Intersection({1 - y}, {-sqrt(25 - x**2), sqrt(25 - x**2)}, Reals)
",observable,"Intersection({1 - y}, {-sqrt(25 - x**2), sqrt(25 - x**2)}, Reals)",malformed_answer,,False,scoring_error:malformed_answer,True,False,mathematically_wrong_answer,"The output is an unresolved intersection, not the requested ordered solution."
confirm-system-08,systems_of_equations,Find exact real x and y when x + y = sqrt(2) and x - y = sqrt(8).,variable_mapping,"{""x"": ""3*sqrt(2)/2"", ""y"": ""-sqrt(2)/2""}","from sympy import Eq, S, solveset, sqrt, symbols

x, y = symbols(""x y"", real=True)
result = solveset(Eq(x + y, sqrt(2)), x, domain=S.Reals) & solveset(Eq(x - y, sqrt(8)), y, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, sqrt, symbols

x, y = symbols(""x y"", real=True)
result = solveset(Eq(x + y, sqrt(2)), x, domain=S.Reals) & solveset(Eq(x - y, sqrt(8)), y, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: Intersection({x - 2*sqrt(2)}, {-y + sqrt(2)})
",observable,"Intersection({x - 2*sqrt(2)}, {-y + sqrt(2)})",malformed_answer,,False,scoring_error:malformed_answer,True,False,mathematically_wrong_answer,"The output is an unresolved intersection, not values for x and y."
confirm-system-09,systems_of_equations,Solve 2*p + 5*q = 1 and 3*p - q = 14 for real p and q.,variable_mapping,"{""p"": ""71/17"", ""q"": ""-25/17""}","from sympy import Eq, linsolve, symbols

p, q = symbols(""p q"", real=True)
result = linsolve((Eq(2*p + (5)*q, 1), Eq(3*p - q, 14)), (p, q))
print(""ANSWER:"", result)","from sympy import Eq, linsolve, symbols

p, q = symbols(""p q"", real=True)
result = linsolve((Eq(2*p + (5)*q, 1), Eq(3*p - q, 14)), (p, q))
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {(71/17, -25/17)}
",observable,"{(71/17, -25/17)}",malformed_answer,,False,scoring_error:malformed_answer,True,True,scorer_false_negative,"The ordered tuple (71/17, -25/17) matches variables (p, q)."
confirm-system-10,systems_of_equations,"Using exact arithmetic, solve x + y + z = 1/6, 2*x - 3*y + z = -2, and 4*x + y - 2*z = 14/3.",variable_mapping,"{""x"": ""1/2"", ""y"": ""2/3"", ""z"": ""-1""}","from sympy import Eq, linsolve, symbols

x, y, z = symbols(""x y z"", real=True)
result = linsolve((Eq(x + y + z, 1/6), Eq(2*x - 3*y + z, -2), Eq(4*x + y - 2*z, 14/3)), (x, y, z))
print(""ANSWER:"", result)","from sympy import Eq, linsolve, symbols

x, y, z = symbols(""x y z"", real=True)
result = linsolve((Eq(x + y + z, 1/6), Eq(2*x - 3*y + z, -2), Eq(4*x + y - 2*z, 14/3)), (x, y, z))
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {(0.5, 0.666666666666667, -1.0)}
",observable,"{(0.5, 0.666666666666667, -1.0)}",malformed_answer,,False,scoring_error:malformed_answer,True,True,scorer_false_negative,"The ordered float tuple numerically represents (1/2, 2/3, -1)."
confirm-polynomial-01,polynomial_roots_or_factorization,Find every real root of x**3 - 2*x**2 - 19*x + 20 = 0.,finite_set,"[""-4"", ""1"", ""5""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**3 - 2*x**2 - 19*x + 20, 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**3 - 2*x**2 - 19*x + 20, 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-4, 1, 5}
",observable,"{-4, 1, 5}",,"{-4, 1, 5}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-polynomial-02,polynomial_roots_or_factorization,List the distinct real zeros of x**3 - x**2 - 8*x + 12.,finite_set,"[""-3"", ""2""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**3 - x**2 - 8*x + 12, 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**3 - x**2 - 8*x + 12, 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-3, 2}
",observable,"{-3, 2}",,"{-3, 2}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-polynomial-03,polynomial_roots_or_factorization,"Determine all real roots of x**4 - 8*x**2 + 15 = 0, keeping radicals exact.",finite_set,"[""-sqrt(5)"", ""-sqrt(3)"", ""sqrt(3)"", ""sqrt(5)""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**4 - 8*x**2 + 15, 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq(x**4 - 8*x**2 + 15, 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-sqrt(3), sqrt(3), -sqrt(5), sqrt(5)}
",observable,"{-sqrt(3), sqrt(3), -sqrt(5), sqrt(5)}",,"{-sqrt(3), sqrt(3), -sqrt(5), sqrt(5)}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-polynomial-04,polynomial_roots_or_factorization,Find every complex zero of x**4 + 5*x**2 - 36.,finite_set,"[""-2"", ""2"", ""-3*I"", ""3*I""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**4 + 5*x**2 - 36, 0), x, domain=S.Complexes)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**4 + 5*x**2 - 36, 0), x, domain=S.Complexes)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-2, 2, -3*I, 3*I}
",observable,"{-2, 2, -3*I, 3*I}",,"{-2, 2, -3*I, 3*I}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-polynomial-05,polynomial_roots_or_factorization,List all distinct real roots of (x + 2)*(x + 1)*x*(x - 3)*(x - 4) = 0.,finite_set,"[""-2"", ""-1"", ""0"", ""3"", ""4""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((x + 2)*(x + 1)*x*(x - 3)*(x - 4), 0), x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
result = solveset(Eq((x + 2)*(x + 1)*x*(x - 3)*(x - 4), 0), x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {-2, -1, 0, 3, 4}
",observable,"{-2, -1, 0, 3, 4}",,"{-2, -1, 0, 3, 4}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-polynomial-06,polynomial_roots_or_factorization,Determine all complex solutions of x**3 - 8 = 0.,finite_set,"[""2"", ""-1 - sqrt(3)*I"", ""-1 + sqrt(3)*I""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**3 - 8, 0), x, domain=S.Complexes)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", complex=True)
result = solveset(Eq(x**3 - 8, 0), x, domain=S.Complexes)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {2, -1 - sqrt(3)*I, -1 + sqrt(3)*I}
",observable,"{2, -1 - sqrt(3)*I, -1 + sqrt(3)*I}",,"{2, -1 - sqrt(3)*I, -1 + sqrt(3)*I}",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
